"sep=;"
slug;name;description;parent;keywords;icon;map_icon;header_type;header_image;header_image_align;category_featured
chirurgien;chirurgien;;0;;;;;;;
endocrinologue-diabetologue;"endocrinologue diabétologue";;0;;;;;;;
gastro-hepathologie;gastro-hepathologie;;0;;;;;;;
generaliste-osteopathe;"généraliste - ostéopathe";;0;;;;;;;
gynecologie-obstetrique;gynecologie-obstetrique;;0;;;;;;;
hematologie;hematologie;;0;;;;;;;
hopitaux;Hôpitaux;;0;;;;map;;image-left;0
hypnotherapeute;hypnothérapeute;;0;;;;;;;
kinesitherapeute;kinésithérapeute;;0;;;;;;;
laboratoire;laboratoire;;0;;https://ghealth.continuousnet.com/wp-content/uploads/images.png;;map;https://ghealth.continuousnet.com/wp-content/uploads/images.png;image-left;0
laboratory;laboratory;;0;;;;;;;
medecin-dentiste;"médecin dentiste";"La médecine dentaire est science de la médecine qui concerne les dents mais aussi les organes buccaux et les tissus qui les soutiennent et les parodontes. Il existe de nombreuses spécialisations dans la médecine dentaire même si les spécialités officielles diffèrent d` un pays à un autre. Les spécialisations les plus répandues actuellement sont : la chirurgie dentaire

";0;;;;map;;image-left;0
medecin-du-travail;"médecin du travail";;0;;;;;;;
medecin-physique-readaptateur;"médecin physique réadaptateur";;0;;;;;;;
medecine-interne;"medecine interne";;0;;;;;;;
medecine-legale;"medecine legale";;0;;;;;;;
medecine-nucleaire;"medecine nucleaire";;0;;;;;;;
medecine-physique;"medecine physique";;0;;;;;;;
medical-specialties;"Medical Specialties";;0;;https://ghealth.continuousnet.com/wp-content/uploads/medium.png;;map;;image-left;0
acupuncteur;Acupuncteur;"L’acupuncture est une spécialisation en médecine dont les origines remontent aux pratiques fondatrices de la médecine traditionnelle en Chine. Son concept est inspiré de la stimulation de points précis et connus à différents endroits du corps humain  en recourant à différentes techniques physiques. Les applications thérapeutiques de l’acupuncture sont nombreuses.";medical-specialties;;https://ghealth.continuousnet.com/wp-content/uploads/medkit.png;;;;image-left;0
acupuncture;acupuncture;;medical-specialties;;;;map;;image-left;0
allergologue;Allergologue;"L` allergologie est une spécialité  ou compétence  médicale qui s’intéresse au traitement des allergies.";medical-specialties;;https://ghealth.continuousnet.com/wp-content/uploads/medkit.png;;;;image-left;0
anatomo-cyto-pathologiste;Anatomo-cyto-pathologiste;"L'anatomie et cytologie pathologiques désigne la spécialité médicale qui étudie les tissus, les cellules, et leurs anomalies, afin de contribuer au diagnostic des maladies, et notamment des cancers. Elle permet d'évaluer le type précis d'affection afin d'orienter la décision thérapeutique.";medical-specialties;;https://ghealth.continuousnet.com/wp-content/uploads/medkit.png;;;;image-left;0
