"sep=;"
post_name;post_title;post_status;post_content;post_excerpt;post_author;post_parent;post_date;comment_status;ping_status;post_image;ait-items;ait-locations;featuredItem;headerImage;address;latitude;longitude;streetview;telephone;telephoneAdditional@number;email;showEmail;contactOwnerBtn;web;webLinkLabel;displayOpeningHours;openingHoursMonday;openingHoursTuesday;openingHoursWednesday;openingHoursThursday;openingHoursFriday;openingHoursSaturday;openingHoursSunday;openingHoursNote;displaySocialIcons;socialIconsOpenInNewWindow;socialIcons@image;socialIcons@icon;socialIcons@iconColor;socialIcons@link;displayGallery;gallery@title;gallery@image;displayFeatures;features@icon;features@text;features@desc
clinique-les-berges-du-lac;"CLINIQUE LES BERGES DU LAC";publish;"<h2 class=""y4vuei-3 cBtaUV"">CLINIQUE LES BERGES DU LAC</h2>Clinique Pluridisciplinaire ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunisia|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"Rue du lac de constance1053 Berge Du Lac La Marsa Tunis  Tunisie ";0.00026949458523586;0.00024254512671227;;"+216 71960000,71966136";;;;1;http://www.polyclinique-lac.com;;;;;;;;;;;1;1;;;;;;;;;;;
clinique-montplaisir;"CLINIQUE MONTPLAISIR";publish;"<h2 class=""y4vuei-3 cBtaUV"">CLINIQUE MONTPLAISIR</h2>Clinique Pluridisciplinaire ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunisia|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"Avenue Mouhamed 5   Rue Elless1002 Montplaisir  Tunis  Tunisie ";0.00012576413977673;2.6949458523586E-5;;"+216 71905001";;;;1;http://www.cliniquemontplaisir.com;;;;;;;;;;;1;1;;;;;;;;;;;
le-centre-hospitalier-international-carthagene;"Le centre hospitalier international carthagene";publish;"<h2 class=""y4vuei-3 cBtaUV"">Le centre hospitalier international carthagene</h2>Clinique Pluridisciplinaire ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"Centre Urbain Nord  à proximité de l?Aéroport Centre Urbain Nord 1082 Tunis Tunisie";36.845458532611;10.200440929494;;"+216 31.336.336";;;;1;" ";;;;;;;;;;;1;1;;;;;1;;https://www.med.tn/uploads/clinics/835731a59367ec280eba4a1da06448b4.jpg;1;;;
centre-du-pied-diabetique-carthagene;"Centre du pied diabétique carthagène";publish;"<h2 class=""y4vuei-3 cBtaUV"">Centre du pied diabétique carthagène</h2>Clinique Diabète ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"Clinique Carthagène étage E Centre Urbain Nord 1082 Tunis Tunisie";36.845521414681;10.200440929494;;"+216 31.336.336";;;;1;www.carthagene.tn;;;;;;;;;;;1;1;;;;;1;;https://www.med.tn/uploads/clinics/5b2651e5646f0373ace9668a577573db.jpg;1;;;
clinique-pediatrique-de-tunis;"Clinique pédiatrique de tunis";publish;"<h2 class=""y4vuei-3 cBtaUV"">Clinique pédiatrique de tunis</h2>Clinique Pédiatrique ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"Jardin d`El Menzah 2 Les Jardins d`El Menzah 2 2094 Tunis Tunisie";36.8539741;10.1302875;;"+216 71.124.444";;;;1;www.cliniquepediatrique.com;;;;;;;;;;;1;1;;;;;1;;https://www.med.tn/uploads/clinics/9384f08d56a8afd9fbcbf48613906fab.jpg;1;;;
clinique-taoufik;"CLINIQUE TAOUFIK";publish;"<h2 class=""y4vuei-3 cBtaUV"">CLINIQUE TAOUFIK</h2>Clinique Pluridisciplinaire ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunisia|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"Boulevard Mohamed Bouazizi  B.P. 691004 El Menzah 1 El Menzah Tunis  Tunisie ";0.00025152827955347;5.3898917047171E-5;;"+216 71143000";;;;1;http://www.clinique-taoufik.tn;;;;;;;;;;;1;1;;;;;;;;;;;
clinique-international-hannibal;"CLINIQUE INTERNATIONAL HANNIBAL";publish;"<h2 class=""y4vuei-3 cBtaUV"">CLINIQUE INTERNATIONAL HANNIBAL</h2>Clinique Pluridisciplinaire ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunisia|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"Cité les pins1053 Berge Du Lac II La Marsa Tunis  Tunisie ";0.00024254512671227;8.9831528411952E-5;;"+216 71137400";;;;1;http://www.cliniquehannibal.com;;;;;;;;;;;1;1;;;;;;;;;;;
institut-vision-retine;"Institut vision & rÉtine";publish;"<h2 class=""y4vuei-3 cBtaUV"">Institut vision & rÉtine</h2>Clinique Ophtalmologique ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"24 Rue du Lac Malaren Les Berges Du Lac 1053 Tunis Tunisie";36.836393840012796;10.231573724711991;;"+216 31.280.000";;;;1;www.institut-vision-retine.com;;;;;;;;;;;1;1;;;;;1;;https://www.med.tn/uploads/clinics/812b4ba287f5ee0bc9d43bbf5bbe87fb.jpg;1;;;
clinique-la-rose;"Clinique la rose";publish;"<h2 class=""y4vuei-3 cBtaUV"">Clinique la rose</h2>Clinique Pluridisciplinaire ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"8 Rue de la bourse Immeuble la Rose Les Berges Du Lac 2 1053 Tunis Tunisie";36.847418;10.265399;;"+216 71.100.900";;;;1;www.clinique-larose.com;;;;;;;;;;;1;1;;;;;1;;https://www.med.tn/uploads/clinics/26657d5ff9020d2abefe558796b99584.jpg;1;https://ghealth.continuousnet.com/wp-content/uploads/check1.png|https://ghealth.continuousnet.com/wp-content/uploads/uncheck.png|https://ghealth.continuousnet.com/wp-content/uploads/check1.png|https://ghealth.continuousnet.com/wp-content/uploads/check1.png;First|Second|Third|Fourth;"Lorem ipsum dolor sit amet, consectetur adipisicing elit|Pellentesque at dui ut felis mollis egestas in ipsum.|Donec ut dolor turpisonec risus felis|Curabitur tempor diam a ligula posuere."
taoufik-hospitals-group;"Taoufik hospitals group";publish;"<h2 class=""y4vuei-3 cBtaUV"">Taoufik hospitals group</h2>Clinique Pluridisciplinaire ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"Rue Abou Kacem Zahraoui Ezzahra 2034 Ben arous";36.844418;10.282379;;"+216 36.413.000";;;;1;www.clinique-ezzahra.com;;;;;;;;;;;1;1;;;;;1;;https://www.med.tn/uploads/clinics/95c4abf2272ad9df94884ef0a7fef376.jpg;1;;;
polyclinique-les-palmiers;"Polyclinique les palmiers";publish;"<h2 class=""y4vuei-3 cBtaUV"">Polyclinique les palmiers</h2>Clinique Pluridisciplinaire ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"Route de Tozeur   KM6 Republique 1001 Tunis Tunisie";36.806491;10.1807749;;"+216 76.227.400";;;;1;" ";;;;;;;;;;;1;1;;;;;1;;https://www.med.tn/img/clinic.jpg;1;https://ghealth.continuousnet.com/wp-content/uploads/check.png|https://ghealth.continuousnet.com/wp-content/uploads/check.png;First|Second;"Pellentesque at dui ut felis mollis egestas dapibus.|Ut ornare pretium nisl, vel hendrerit nisi egestasa."
clinique-alyssa;"CLINIQUE ALYSSA";publish;"<h2 class=""y4vuei-3 cBtaUV"">CLINIQUE ALYSSA</h2>Clinique Pluridisciplinaire ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunisia|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"Rue du lac Leman1053 Berge Du Lac La Marsa Tunis  Tunisie ";8.0848375570757E-5;0.00015271359830032;;"+216 71962555";;;;1;http://www.cliniquealyssa.com;;;;;;;;;;;1;1;;;;;;;;;;;
clinique-cardiovasculaire-de-tunis;"CLINIQUE CARDIOVASCULAIRE DE TUNIS";publish;"<h2 class=""y4vuei-3 cBtaUV"">CLINIQUE CARDIOVASCULAIRE DE TUNIS</h2>Clinique Pluridisciplinaire ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunisia|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"Voie X21003 Cité El Khadra  Tunis  Tunisie ";1.796630568239E-5;0.00022457882102988;;"+216 71908000";;;;1;http://www.cardio-cgct.com;;;;;;;;;;;1;1;;;;;;;;;;;
clinique-avicenne;"CLINIQUE AVICENNE";publish;"<h2 class=""y4vuei-3 cBtaUV"">CLINIQUE AVICENNE</h2>Clinique Pluridisciplinaire ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunisia|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"4  Rue Mohamed JEMMELI2092 El Manar 2  Tunis  Tunisie ";0.00015271359830032;0.00011678098693554;;"+216 71888000";;;;1;http://www.cliniqueavicenne.com;;;;;;;;;;;1;1;;;;;;;;;;;
clinique-el-manar;"CLINIQUE El MANAR";publish;"<h2 class=""y4vuei-3 cBtaUV"">CLINIQUE El MANAR</h2>Clinique Pluridisciplinaire ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunisia|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"Rue Habib Echatti2092 El Manar 1 El Menzah Tunis  Tunisie ";0.00014373044545912;0.0001886462096651;;"+216 71885000, 71875000";;;;1;http://www.lescliniqueselmanar.com;;;;;;;;;;;1;1;;;;;;;;;;;
clinique-internationale-dophtalmologie;"Clinique internationale d`ophtalmologie";publish;"<h2 class=""y4vuei-3 cBtaUV"">Clinique internationale d`ophtalmologie</h2>Clinique Ophtalmologique ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"Le Berge du Lac à coté de la mosqué Les Berges Du Lac 1053 Tunis Tunisie";36.831536;10.22468;;"+216 71.860.550";;;;1;www.ciotunisie.com;;;;;;;;;;;1;1;;;;;1;;https://www.med.tn/uploads/clinics/aa94f00b2d2c2eb6df1f33c76becd26a.jpg;1;;;
clinique-ophtalmologique-du-lac-de-tunis;"CLINIQUE OPHTALMOLOGIQUE DU LAC DE TUNIS";publish;"<h2 class=""y4vuei-3 cBtaUV"">CLINIQUE OPHTALMOLOGIQUE DU LAC DE TUNIS</h2>Clinique Pluridisciplinaire ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunisia|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"Place rue lac Malarène1053 Berge Du Lac  Tunis  Tunisie ";9.8814681253147E-5;7.1865222729562E-5;;"+216 71860266";;;;1;http://www.ophtalmodulac.com;;;;;;;;;;;1;1;;;;;;;;;;;
clinique-erridha;"Clinique erridha";publish;"<h2 class=""y4vuei-3 cBtaUV"">Clinique erridha</h2>Clinique Pluridisciplinaire ";;1;0;"2020-10-23 15:00:21";open;open;bigstock-Pharmacy-4885985;hopitaux;tunis-fr|tunsia;;https://ghealth.continuousnet.com/wp-content/uploads/80f87da58b4aa37bf32abb14fa77f42e.jpg;"31 Avenue Louis Braille Cite El Khadra 1003 Tunis Tunisie";36.8222581;10.1846412;;"+216 71.847.155";;;;1;" ";;;;;;;;;;;1;1;;;;;1;;https://www.med.tn/img/clinic.jpg;1;;;
